,ALB,ALO,BOT,DEV,GAS,HAM,HUL,LEC,MAG,NOR,OCO,PER,PIA,RUS,SAI,SAR,STR,TSU,VER,ZHO
ALB,0.0,0.4874,0.4989,0.5034,0.5015,0.4754,0.4877,0.4738,0.5008,0.4946,0.487,0.4716,0.5019,0.4867,0.4753,0.517,0.4887,0.4971,0.4633,0.4997
ALO,0.5126,0.0,0.5125,0.5222,0.5216,0.4979,0.5095,0.4868,0.5209,0.5086,0.5055,0.4801,0.5239,0.5019,0.4936,0.529,0.5058,0.5121,0.4787,0.5149
BOT,0.5011,0.4875,0.0,0.5017,0.501,0.4733,0.4859,0.4675,0.4971,0.4968,0.4874,0.4714,0.5012,0.4866,0.4662,0.5147,0.4849,0.4944,0.4641,0.496
DEV,0.4966,0.4778,0.4983,0.0,0.5014,0.473,0.4861,0.4685,0.4961,0.4963,0.481,0.4614,0.5025,0.4861,0.4668,0.5104,0.4838,0.4964,0.4659,0.4968
GAS,0.4985,0.4784,0.499,0.4986,0.0,0.466,0.4807,0.4649,0.499,0.4939,0.4785,0.4622,0.5041,0.48,0.4663,0.5209,0.4818,0.4938,0.4575,0.4993
HAM,0.5246,0.5021,0.5267,0.527,0.534,0.0,0.512,0.4995,0.5282,0.5172,0.5088,0.4884,0.5285,0.506,0.4964,0.5359,0.5146,0.5208,0.4823,0.5245
HUL,0.5123,0.4905,0.5141,0.5139,0.5193,0.488,0.0,0.4828,0.5151,0.5042,0.497,0.4789,0.5112,0.5011,0.487,0.5329,0.4993,0.5106,0.4718,0.5104
LEC,0.5262,0.5132,0.5325,0.5315,0.5351,0.5005,0.5172,0.0,0.5308,0.5255,0.5166,0.4914,0.5364,0.5132,0.5028,0.5448,0.514,0.5258,0.4964,0.5287
MAG,0.4992,0.4791,0.5029,0.5039,0.501,0.4718,0.4849,0.4692,0.0,0.4959,0.483,0.465,0.5038,0.4811,0.4666,0.5153,0.4857,0.4949,0.4606,0.4964
NOR,0.5054,0.4914,0.5032,0.5037,0.5061,0.4828,0.4958,0.4745,0.5041,0.0,0.4924,0.4737,0.5072,0.4923,0.4759,0.5172,0.4921,0.5033,0.47,0.5076
OCO,0.513,0.4945,0.5126,0.519,0.5215,0.4912,0.503,0.4834,0.517,0.5076,0.0,0.4802,0.5114,0.4978,0.489,0.5219,0.4989,0.5111,0.4745,0.5133
PER,0.5284,0.5199,0.5286,0.5386,0.5378,0.5116,0.5211,0.5086,0.535,0.5263,0.5198,0.0,0.5279,0.5133,0.5108,0.5421,0.5224,0.5296,0.4962,0.5315
PIA,0.4981,0.4761,0.4988,0.4975,0.4959,0.4715,0.4888,0.4636,0.4962,0.4928,0.4886,0.4721,0.0,0.4854,0.4681,0.5068,0.4867,0.4937,0.4565,0.4945
RUS,0.5133,0.4981,0.5134,0.5139,0.52,0.494,0.4989,0.4868,0.5189,0.5077,0.5022,0.4867,0.5146,0.0,0.4848,0.5304,0.5007,0.5109,0.4776,0.5092
SAI,0.5247,0.5064,0.5338,0.5332,0.5337,0.5036,0.513,0.4972,0.5334,0.5241,0.511,0.4892,0.5319,0.5152,0.0,0.5438,0.5158,0.5248,0.4911,0.5253
SAR,0.483,0.471,0.4853,0.4896,0.4791,0.4641,0.4671,0.4552,0.4847,0.4828,0.4781,0.4579,0.4932,0.4696,0.4562,0.0,0.4707,0.4874,0.4506,0.4866
STR,0.5113,0.4942,0.5151,0.5162,0.5182,0.4854,0.5007,0.486,0.5143,0.5079,0.5011,0.4776,0.5133,0.4993,0.4842,0.5293,0.0,0.5103,0.4751,0.5122
TSU,0.5029,0.4879,0.5056,0.5036,0.5062,0.4792,0.4894,0.4742,0.5051,0.4967,0.4889,0.4704,0.5063,0.4891,0.4752,0.5126,0.4897,0.0,0.4666,0.4989
VER,0.5367,0.5213,0.5359,0.5341,0.5425,0.5177,0.5282,0.5036,0.5394,0.53,0.5255,0.5038,0.5435,0.5224,0.5089,0.5494,0.5249,0.5334,0.0,0.5353
ZHO,0.5003,0.4851,0.504,0.5032,0.5007,0.4755,0.4896,0.4713,0.5036,0.4924,0.4867,0.4685,0.5055,0.4908,0.4747,0.5134,0.4878,0.5011,0.4647,0.0
