,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20
ALB,0.0495,0.0486,0.0493,0.0486,0.0517,0.0466,0.047,0.0492,0.0451,0.052,0.0489,0.0437,0.0497,0.0532,0.053,0.0503,0.053,0.0509,0.0516,0.0581
ALO,0.0692,0.0627,0.0566,0.0536,0.0447,0.0474,0.0457,0.0425,0.0445,0.0475,0.0427,0.0419,0.0417,0.0434,0.0424,0.0465,0.0463,0.051,0.0615,0.0682
BOT,0.0648,0.053,0.0479,0.0502,0.046,0.0468,0.0433,0.0457,0.0427,0.0423,0.0453,0.0472,0.043,0.0492,0.0462,0.0495,0.0499,0.0528,0.0611,0.0731
DEV,0.0209,0.0364,0.0398,0.0438,0.0543,0.0552,0.0546,0.0573,0.0581,0.0608,0.0625,0.0572,0.057,0.0628,0.0541,0.0552,0.0534,0.0486,0.0391,0.0289
GAS,0.0186,0.0293,0.0357,0.0433,0.0511,0.0532,0.0577,0.0606,0.0659,0.0629,0.0613,0.0601,0.0718,0.0612,0.0599,0.055,0.0514,0.0443,0.0358,0.0209
HAM,0.0302,0.045,0.0472,0.0523,0.0584,0.0568,0.0613,0.0591,0.0577,0.0588,0.0549,0.0585,0.0514,0.0518,0.0526,0.0446,0.0508,0.0448,0.0384,0.0254
HUL,0.0357,0.0429,0.0504,0.0474,0.052,0.0551,0.0538,0.0553,0.0547,0.0537,0.0524,0.0573,0.0566,0.0533,0.0559,0.0528,0.0509,0.0431,0.046,0.0307
LEC,0.0706,0.0588,0.0596,0.0576,0.0531,0.0458,0.0483,0.0448,0.0462,0.0422,0.0462,0.0437,0.0418,0.0433,0.0447,0.0471,0.0437,0.0528,0.0482,0.0615
MAG,0.0216,0.0327,0.0416,0.0474,0.0498,0.0563,0.0544,0.0579,0.0593,0.0599,0.0593,0.0613,0.0625,0.0571,0.0588,0.0561,0.051,0.0469,0.0378,0.0283
NOR,0.0406,0.0424,0.0476,0.0533,0.0505,0.0501,0.052,0.051,0.0531,0.0544,0.0517,0.0521,0.0539,0.0498,0.0506,0.0555,0.0492,0.0482,0.0499,0.0441
OCO,0.0584,0.0564,0.0531,0.051,0.05,0.0472,0.0486,0.0458,0.047,0.0474,0.0469,0.0433,0.0473,0.0467,0.0498,0.0514,0.0478,0.0517,0.053,0.0572
PER,0.086,0.0662,0.062,0.0508,0.0481,0.0487,0.041,0.0423,0.0406,0.0422,0.042,0.0423,0.0423,0.0419,0.0415,0.0454,0.0457,0.049,0.0565,0.0655
PIA,0.0338,0.0431,0.0436,0.0504,0.0484,0.0504,0.0525,0.052,0.0531,0.05,0.0571,0.0567,0.054,0.0525,0.0523,0.0495,0.057,0.0531,0.0467,0.0438
RUS,0.0678,0.0612,0.0546,0.0513,0.0445,0.0491,0.0456,0.0439,0.0459,0.0425,0.0429,0.0404,0.0436,0.0475,0.0463,0.05,0.0472,0.0545,0.0573,0.0639
SAI,0.0427,0.0536,0.0532,0.0516,0.0578,0.0537,0.0542,0.0521,0.058,0.0481,0.0504,0.0567,0.0494,0.0507,0.0488,0.0487,0.0492,0.0455,0.0429,0.0327
SAR,0.0386,0.045,0.046,0.0452,0.0442,0.046,0.0497,0.0519,0.0463,0.0523,0.0515,0.055,0.0465,0.0499,0.0549,0.0542,0.0545,0.0574,0.0574,0.0535
STR,0.0388,0.0419,0.0481,0.055,0.0509,0.0523,0.0513,0.0535,0.0542,0.0565,0.0564,0.0541,0.0524,0.0548,0.0535,0.0523,0.0512,0.0445,0.0415,0.0368
TSU,0.0569,0.0561,0.0525,0.0498,0.0496,0.049,0.0425,0.0445,0.0418,0.0467,0.0475,0.0456,0.0475,0.043,0.0469,0.0442,0.0524,0.0574,0.0589,0.0672
VER,0.0901,0.0681,0.0576,0.0513,0.0457,0.0458,0.049,0.0461,0.0419,0.0396,0.0413,0.0423,0.0421,0.043,0.0429,0.044,0.0416,0.0463,0.0543,0.067
ZHO,0.0652,0.0566,0.0536,0.0461,0.0492,0.0445,0.0475,0.0445,0.0439,0.0402,0.0388,0.0406,0.0455,0.0449,0.0449,0.0477,0.0538,0.0572,0.0621,0.0732
