Driver,ExpectedFinish,PodiumProb,Top10Prob
VER,9.9635,0.2158,0.5352
PER,10.050500000000001,0.2142,0.5279
LEC,10.1174,0.189,0.527
SAI,10.1488,0.1495,0.525
HAM,10.2225,0.12240000000000001,0.5267999999999999
ALO,10.361899999999999,0.1885,0.5144
RUS,10.4179,0.1836,0.5064
OCO,10.4391,0.1679,0.5048999999999999
STR,10.448300000000001,0.1288,0.5025000000000001
HUL,10.4596,0.129,0.501
NOR,10.6013,0.1306,0.495
TSU,10.6515,0.16549999999999998,0.4894
ZHO,10.6811,0.1754,0.4913
ALB,10.688199999999998,0.14739999999999998,0.4876
BOT,10.7212,0.1657,0.48269999999999996
MAG,10.739700000000001,0.0959,0.4809
DEV,10.754800000000001,0.0971,0.4812
PIA,10.7683,0.1205,0.47729999999999995
GAS,10.776599999999998,0.08360000000000001,0.47830000000000006
SAR,10.9878,0.1296,0.46520000000000006
